Gss year for this respondent                       ,Respondent income in constant dollars,Happiness of marriage,General happiness,Any opp. race in neighborhood,Political party affiliation,Number of persons in household,Race of respondent,"Highest year school completed, spouse",Highest year of school completed,Number of children,Number of brothers and sisters,Spouse labor force status,Marital status,Number of hours worked last week,Respondent id number,Ballot used for interview
1975,16902,Not applicable,Pretty happy,No,"Ind,near dem",3,White,Not applicable,12,0,4,Not applicable,Never married,Not applicable,1,Not applicable
1975,0,Not applicable,Very happy,No,Not str democrat,3,White,Not applicable,13,0,0,Not applicable,Never married,Not applicable,2,Not applicable
1975,16902,Not applicable,Not too happy,No,Not str democrat,1,White,Not applicable,7,1,6,Not applicable,Widowed,38,3,Not applicable
1975,6146,Not applicable,Pretty happy,Yes,Strong democrat,2,White,Not applicable,12,0,3,Not applicable,Never married,40,4,Not applicable
1975,69146,Not applicable,Very happy,Yes,"Ind,near dem",3,White,Not applicable,18,0,6,Not applicable,Never married,50,5,Not applicable
1975,38414,Very happy,Very happy,Yes,Not str republican,2,White,16,17,0,0,Working fulltime,Married,35,6,Not applicable
1975,1537,Very happy,Pretty happy,Yes,Not str republican,8,White,12,10,6,3,Working fulltime,Married,16,7,Not applicable
1975,0,Very happy,Very happy,Yes,Strong democrat,3,White,8,8,3,10,Working fulltime,Married,Not applicable,8,Not applicable
1975,38414,Pretty happy,Pretty happy,Don't know,Not str democrat,3,White,7,8,3,5,Working fulltime,Married,46,9,Not applicable
1975,38414,Pretty happy,Pretty happy,No,Not str democrat,3,White,12,17,1,2,Working fulltime,Married,40,10,Not applicable
1975,53780,Very happy,Very happy,No,Strong democrat,4,White,16,16,2,1,Keeping house,Married,33,11,Not applicable
1975,19975,Not applicable,Very happy,No,Strong democrat,1,White,Not applicable,9,2,1,Not applicable,Divorced,No answer,12,Not applicable
1975,27658,Very happy,Pretty happy,Yes,Strong democrat,3,White,12,10,2,3,Working fulltime,Married,45,13,Not applicable
1975,38414,Very happy,Very happy,Don't know,"Ind,near dem",2,White,14,16,0,3,Keeping house,Married,37,14,Not applicable
1975,1537,Pretty happy,Pretty happy,Don't know,Independent,5,White,19,19,3,1,Working fulltime,Married,20,15,Not applicable
1975,27658,Not applicable,Pretty happy,No,Strong republican,4,White,Not applicable,11,4,4,Not applicable,Divorced,Not applicable,16,Not applicable
1975,38414,Pretty happy,Pretty happy,Yes,"Ind,near rep",3,White,12,14,2,2,Working parttime,Married,40,17,Not applicable
1975,16902,Pretty happy,Pretty happy,No,Independent,2,White,10,10,2,12,Working parttime,Married,40,18,Not applicable
1975,6146,Very happy,Pretty happy,No,Not str democrat,4,White,12,12,2,0,Other,Married,16,19,Not applicable
1975,6146,Pretty happy,Pretty happy,No,Independent,5,White,10,14,1,1,Working fulltime,Married,Not applicable,20,Not applicable
1975,0,Very happy,Pretty happy,Yes,"Ind,near rep",2,White,12,11,2,6,Working fulltime,Married,Not applicable,21,Not applicable
1975,19975,Very happy,Pretty happy,Yes,Not str republican,6,White,12,12,5,2,Other,Married,40,22,Not applicable
1975,53780,Very happy,Pretty happy,Yes,Independent,5,White,10,12,3,0,Keeping house,Married,40,23,Not applicable
1975,13829,Very happy,Not too happy,Yes,"Ind,near dem",6,White,10,12,4,3,Working fulltime,Married,37,24,Not applicable
1975,23049,Pretty happy,Pretty happy,Yes,Independent,5,White,12,10,2,3,Working fulltime,Married,89,25,Not applicable
1975,13829,Not applicable,Not too happy,Yes,Not str democrat,3,White,Not applicable,8,3,8,Not applicable,Widowed,35,26,Not applicable
1975,19975,Not applicable,Pretty happy,Not applicable,Independent,2,Black,Not applicable,8,0,7,Not applicable,Never married,40,27,Not applicable
1975,13829,Very happy,Very happy,No,"Ind,near dem",3,White,12,17,1,2,Working fulltime,Married,Not applicable,28,Not applicable
1975,38414,Very happy,Pretty happy,No,Strong republican,5,White,12,12,3,0,Keeping house,Married,35,29,Not applicable
1975,0,Very happy,Very happy,No,Independent,4,White,20,20,2,6,Working fulltime,Married,Not applicable,30,Not applicable
1975,90842,Pretty happy,Pretty happy,No,Strong democrat,2,White,14,14,2,2,Keeping house,Married,24,31,Not applicable
1975,10756,Not applicable,No answer,Yes,Strong democrat,3,White,Not applicable,18,0,1,Not applicable,Never married,39,32,Not applicable
1975,0,Very happy,Very happy,Yes,Not str democrat,5,White,13,13,3,2,Working fulltime,Married,25,33,Not applicable
1975,0,Not applicable,Pretty happy,Not applicable,Strong democrat,4,Black,Not applicable,9,0,3,Not applicable,Never married,Not applicable,34,Not applicable
1975,23049,Pretty happy,Not too happy,Not applicable,Other party,4,Black,12,12,2,2,Working fulltime,Married,20,35,Not applicable
1975,0,Not applicable,Not too happy,Yes,Not str democrat,2,White,Not applicable,5,1,4,Not applicable,Separated,Not applicable,36,Not applicable
1975,19975,Very happy,Very happy,Yes,Not str democrat,2,White,12,14,0,3,Working fulltime,Married,40,37,Not applicable
1975,10756,Not applicable,Pretty happy,Yes,Not str republican,1,White,Not applicable,12,1,0,Not applicable,Widowed,21,38,Not applicable
1975,27658,Pretty happy,Pretty happy,Yes,"Ind,near dem",2,White,12,12,0,3,Working fulltime,Married,52,39,Not applicable
1975,1537,Not applicable,Pretty happy,Yes,"Ind,near dem",2,White,Not applicable,12,1,6,Not applicable,Widowed,23,40,Not applicable
1975,0,Not too happy,Pretty happy,Yes,Not str democrat,5,White,12,11,4,7,Working fulltime,Married,Not applicable,41,Not applicable
1975,0,Pretty happy,Pretty happy,Not applicable,Not str democrat,3,Black,13,9,1,7,Working fulltime,Married,Not applicable,42,Not applicable
1975,0,Very happy,Pretty happy,Yes,Independent,3,White,10,12,4,11,Retired,Married,Not applicable,43,Not applicable
1975,6146,Not applicable,Pretty happy,No,"Ind,near dem",2,White,Not applicable,13,0,1,Not applicable,Never married,Not applicable,44,Not applicable
1975,38414,Very happy,Pretty happy,No,"Ind,near rep",4,White,10,12,2,2,Keeping house,Married,45,45,Not applicable
1975,0,Very happy,Very happy,Yes,Not str republican,4,White,13,12,1,4,"Unempl, laid off",Married,Not applicable,46,Not applicable
1975,0,Very happy,Very happy,Yes,Not str republican,2,White,12,8,0,7,Retired,Married,Not applicable,47,Not applicable
1975,13829,Very happy,Pretty happy,Yes,Independent,3,White,8,12,1,4,Keeping house,Married,32,48,Not applicable
1975,1537,Very happy,Pretty happy,Yes,Not str republican,5,White,4,10,3,6,Working fulltime,Married,4,49,Not applicable
1975,0,Not applicable,Pretty happy,No,Not str republican,1,White,Not applicable,8,2,8,Not applicable,Widowed,Not applicable,50,Not applicable
1975,0,Very happy,Very happy,No,"Ind,near dem",2,White,8,8,4,4,Retired,Married,Not applicable,51,Not applicable
1975,0,Not applicable,Not too happy,No,Not str democrat,1,White,Not applicable,14,0,0,Not applicable,Never married,Not applicable,52,Not applicable
1975,1537,Not applicable,Pretty happy,Yes,"Ind,near rep",7,White,Not applicable,11,0,5,Not applicable,Never married,23,53,Not applicable
