Variable Position,Variable Name,Code,Label
1,conrinc,999999,No answer
,,999998,Dont know
,,0,Not applicable
2,hapmar,9,No answer
,,8,Don't know
,,3,Not too happy
,,2,Pretty happy
,,1,Very happy
,,0,Not applicable
3,happy,9,No answer
,,8,Don't know
,,3,Not too happy
,,2,Pretty happy
,,1,Very happy
,,0,Not applicable
4,raclive,9,No answer
,,8,Don't know
,,2,No
,,1,Yes
,,0,Not applicable
5,partyid,9,No answer
,,8,Don't know
,,7,Other party
,,6,Strong republican
,,5,Not str republican
,,4,"Ind,near rep"
,,3,Independent
,,2,"Ind,near dem"
,,1,Not str democrat
,,0,Strong democrat
6,hompop,99,No answer
,,98,Don't know
7,race,3,Other
,,2,Black
,,1,White
,,0,Not applicable
8,speduc,99,No answer
,,98,Don't know
,,97,Not applicable
9,educ,99,No answer
,,98,Don't know
,,97,Not applicable
10,childs,9,Dk na
,,8,Eight or more
11,sibs,99,No answer
,,98,Don't know
,,-1,Not applicable
12,spwrksta,9,No answer
,,8,Other
,,7,Keeping house
,,6,School
,,5,Retired
,,4,"Unempl, laid off"
,,3,Temp not working
,,2,Working parttime
,,1,Working fulltime
,,0,Not applicable
13,marital,9,No answer
,,5,Never married
,,4,Separated
,,3,Divorced
,,2,Widowed
,,1,Married
14,hrs1,99,No answer
,,98,Don't know
,,-1,Not applicable
16,ballot,4,Ballot d
,,3,Ballot c
,,2,Ballot b
,,1,Ballot a
,,0,Not applicable
