Name,Label,Description,Category
year,Gss year for this respondent                       ,,
conrinc,Respondent income in constant dollars,,
hapmar,Happiness of marriage,,
happy,General happiness,,
raclive,Any opp. race in neighborhood,,
partyid,Political party affiliation,,
hompop,Number of persons in household,,
race,Race of respondent,,
speduc,"Highest year school completed, spouse",,
educ,Highest year of school completed,,
childs,Number of children,,
sibs,Number of brothers and sisters,,
spwrksta,Spouse labor force status,,
marital,Marital status,,
hrs1,Number of hours worked last week,,
id_,Respondent id number,,
ballot,Ballot used for interview,,
